,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memory_size,accelerator_tdp
ATI;Radeon;HD,5970,ATI_AMDRadeon_HD_5970,GPU,AMD,OpenCL_1_2,TeraScale2,2GB,294
ATI;Radeon;HD,5870,ATI_AMDRadeon_HD_5870,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,188
ATI;Radeon;HD,5850,ATI_AMDRadeon_HD_5850,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,151
ATI;Radeon;HD,5830,ATI_AMDRadeon_HD_5830,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,175
ATI;Radeon;HD,5770,ATI_AMDRadeon_HD_5770,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,108
ATI;Radeon;HD,5750,ATI_AMDRadeon_HD_5750,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,86
ATI;Radeon;HD,5670,ATI_AMDRadeon_HD_5670,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,64
ATI;Radeon;HD,5570,ATI_AMDRadeon_HD_5570,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,39
ATI;Radeon;HD,5450,ATI_AMDRadeon_HD_5450,GPU,AMD,OpenCL_1_2,TeraScale2,1GB,19
AMD;Radeon;Vega,Frontier,AMDRadeon_Vega_Frontier,GPU,AMD,OpenCL_2_1,Vega,16GB,300
AMD;Radeon;RX;Vega64,Liquid,AMDRadeon_RX_Vega_64_L,GPU,AMD,OpenCL_2_1,GCN_5_0,8GB,345
AMD;Radeon;RX;Vega64,,AMDRadeon_RX_Vega_64,GPU,AMD,OpenCL_2_1,GCN_5_0,8GB,295
AMD;Radeon;RX,Vega 56,AMDRadeon_RX_Vega_56,GPU,AMD,OpenCL_2_1,GCN_5_0,8GB,210
AMD;Radeon;RX,6950 XT,AMDRadeon_RX_6950_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,16GB,335
AMD;Radeon;RX,6900 XT,AMDRadeon_RX_6900_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,16GB,300
AMD;Radeon;RX,6850M XT,AMDRadeon_RX_6850M_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,12GB,165
AMD;Radeon;RX,6800S,AMDRadeon_RX_6800S,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,100
AMD;Radeon;RX,6800M,AMDRadeon_RX_6800M,GPU,AMD,OpenCL_2_1,RDNA_2_0,12GB,145
AMD;Radeon;RX,6800 XT,AMDRadeon_RX_6800_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,16GB,300
AMD;Radeon;RX,6750 XT,AMDRadeon_RX_6750_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,12GB,250
AMD;Radeon;RX,6700S,AMDRadeon_RX_6700S,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,80
AMD;Radeon;RX,6700M,AMDRadeon_RX_6700M,GPU,AMD,OpenCL_2_1,RDNA_2_0,10GB,135
AMD;Radeon;RX,6700 XT,AMDRadeon_RX_6700_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,12GB,230
AMD;Radeon;RX,6650M XT,AMDRadeon_RX_6650M_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,120
AMD;Radeon;RX,6650M,AMDRadeon_RX_6650M,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,120
AMD;Radeon;RX,6650 XT,AMDRadeon_RX_6650_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,176
AMD;Radeon;RX,6600S,AMDRadeon_RX_6600S,GPU,AMD,OpenCL_2_1,RDNA_2_0,4GB,80
AMD;Radeon;RX,6600M,AMDRadeon_RX_6600M,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,100
AMD;Radeon;RX,6600 XT,AMDRadeon_RX_6600_XT,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,160
AMD;Radeon;RX,6500M,AMDRadeon_RX_6500M,GPU,AMD,OpenCL_2_2,RDNA_2_0,4GB,50
AMD;Radeon;RX,6500 XT,AMDRadeon_RX_6500_XT,GPU,AMD,OpenCL_2_2,RDNA_2_0,4GB,107
AMD;Radeon;RX,6300M,AMDRadeon_RX_6300M,GPU,AMD,OpenCL_2_2,RDNA_2_0,2GB,25
AMD;Radeon;RX,580X,AMDRadeon_RX_580X,GPU,AMD,OpenCL_2_1,GCN_4_0,8GB,185
AMD;Radeon;RX,570X,AMDRadeon_RX_570X,GPU,AMD,OpenCL_2_1,GCN_4_0,8GB,150
AMD;Radeon;RX,5700M,AMDRadeon_RX_5700M,GPU,AMD,OpenCL_2_1,RDNA_1_0,8GB,180
AMD;Radeon;RX,5700 XT,AMDRadeon_RX_5700_XT,GPU,AMD,OpenCL_2_1,RDNA_1_0,8GB,225
AMD;Radeon;RX,560X,AMDRadeon_RX_560X,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,75
AMD;Radeon;RX,5600M,AMDRadeon_RX_5600M,GPU,AMD,OpenCL_2_1,RDNA_1_0,6GB,150
AMD;Radeon;RX,5600 XT,AMDRadeon_RX_5600_XT,GPU,AMD,OpenCL_2_1,RDNA_1_0,6GB,150
AMD;Radeon;RX,550X,AMDRadeon_RX_550X,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon;RX,5500M,AMDRadeon_RX_5500M,GPU,AMD,OpenCL_2_1,RDNA_1_0,4GB,85
AMD;Radeon;RX,5500 XT,AMDRadeon_RX_5500_XT,GPU,AMD,OpenCL_2_1,RDNA_1_0,8GB,130
AMD;Radeon;RX,540X,AMDRadeon_RX_540X,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon;RX,5300M,AMDRadeon_RX_5300M,GPU,AMD,OpenCL_2_1,RDNA_1_0,3GB,85
AMD;Radeon;RX,6800,AMDRadeon_RX_6800,GPU,AMD,OpenCL_2_1,RDNA_2_0,16GB,250
AMD;Radeon;RX,6700,AMDRadeon_RX_6700,GPU,AMD,OpenCL_2_1,RDNA_2_0,10GB,175
AMD;Radeon;RX,6600,AMDRadeon_RX_6600,GPU,AMD,OpenCL_2_1,RDNA_2_0,8GB,132
AMD;Radeon;RX,6400,AMDRadeon_RX_6400,GPU,AMD,OpenCL_2_2,RDNA_2_0,4GB,53
AMD;Radeon;RX,5700,AMDRadeon_RX_5700,GPU,AMD,OpenCL_2_1,RDNA_1_0,8GB,180
AMD;Radeon;RX,5600,AMDRadeon_RX_5600,GPU,AMD,OpenCL_2_1,RDNA_1_0,6GB,150
AMD;Radeon;RX,5500,AMDRadeon_RX_5500,GPU,AMD,OpenCL_2_1,RDNA_1_0,4GB,110
AMD;Radeon;RX,5300,AMDRadeon_RX_5300,GPU,AMD,OpenCL_2_1,RDNA_1_0,3GB,85
AMD;Radeon;RX,640,AMDRadeon_RX_640,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon;RX,590,AMDRadeon_RX_590,GPU,AMD,OpenCL_2_1,GCN_4_0,8GB,175
AMD;Radeon;RX,580,AMDRadeon_RX_580,GPU,AMD,OpenCL_2_1,GCN_4_0,8GB,185
AMD;Radeon;RX,570,AMDRadeon_RX_570,GPU,AMD,OpenCL_2_1,GCN_4_0,8GB,150
AMD;Radeon;RX,560,AMDRadeon_RX_560,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,75
AMD;Radeon;RX,550,AMDRadeon_RX_550,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon;RX,540,AMDRadeon_RX_540,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,50
AMD;Radeon;RX,480,AMDRadeon_RX_480,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,110
AMD;Radeon;RX,470,AMDRadeon_RX_470,GPU,AMD,OpenCL_2_1,GCN_4_0,4GB,120
AMD;Radeon;RX,460,AMDRadeon_RX_460,GPU,AMD,OpenCL_2_1,GCN_4_0,2GB,75
AMD;Radeon;R9;Fury,X,AMDRadeon_R9_Fury_X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,275
AMD;Radeon;R9;Fury,,AMDRadeon_R9_Fury,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,275
AMD;Radeon;R9,Nano,AMDRadeon_R9_Nano,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,175
AMD;Radeon;R9,M395X,AMDRadeon_R9_M395X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,75
AMD;Radeon;R9,M395,AMDRadeon_R9_M395,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,250
AMD;Radeon;R9,M390X,AMDRadeon_R9_M390X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,75
AMD;Radeon;R9,M390,AMDRadeon_R9_M390,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,80
AMD;Radeon;R9,M385X,AMDRadeon_R9_M385X,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M385,AMDRadeon_R9_M385,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M380,AMDRadeon_R9_M380,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M375X,AMDRadeon_R9_M375X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,M375,AMDRadeon_R9_M375,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,M365X,AMDRadeon_R9_M365X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,M360,AMDRadeon_R9_M360,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,M295X,AMDRadeon_R9_M295X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,250
AMD;Radeon;R9,M290X,AMDRadeon_R9_M290X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,100
AMD;Radeon;R9,M285X,AMDRadeon_R9_M285X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,na
AMD;Radeon;R9,M280X,AMDRadeon_R9_M280X,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M280,AMDRadeon_R9_M280,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M275X,AMDRadeon_R9_M275X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,M270X,AMDRadeon_R9_M270X,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,na
AMD;Radeon;R9,M265X,AMDRadeon_R9_M265X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R9,390X,AMDRadeon_R9_390X,GPU,AMD,OpenCL_2_0,GCN_2_0,8GB,275
AMD;Radeon;R9,380X,AMDRadeon_R9_380X,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,190
AMD;Radeon;R9,295X2,AMDRadeon_R9_295X2,GPU,AMD,OpenCL_2_0,GCN_2_0,8GB,500
AMD;Radeon;R9,290X,AMDRadeon_R9_290X,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,275
AMD;Radeon;R9,280X,AMDRadeon_R9_280X,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,250
AMD;Radeon;R9,270X,AMDRadeon_R9_270X,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,180
AMD;Radeon;R9,390,AMDRadeon_R9_390,GPU,AMD,OpenCL_2_0,GCN_2_0,8GB,275
AMD;Radeon;R9,380,AMDRadeon_R9_380,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,190
AMD;Radeon;R9,290,AMDRadeon_R9_290,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,275
AMD;Radeon;R9,285,AMDRadeon_R9_285,GPU,AMD,OpenCL_2_0,GCN_3_0,2GB,190
AMD;Radeon;R9,280,AMDRadeon_R9_280,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,200
AMD;Radeon;R9,270,AMDRadeon_R9_270,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,150
AMD;Radeon;R7,M380,AMDRadeon_R7_M380,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M375,AMDRadeon_R7_M375,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M370,AMDRadeon_R7_M370,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M365X,AMDRadeon_R7_M365X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M365,AMDRadeon_R7_M365,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M360,AMDRadeon_R7_M360,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,na
AMD;Radeon;R7,M350,AMDRadeon_R7_M350,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,35
AMD;Radeon;R7,M340,AMDRadeon_R7_M340,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M270,AMDRadeon_R7_M270,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;R7,M265X,AMDRadeon_R7_M265X,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;R7,M265AE,AMDRadeon_R7_M265AE,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;R7,M265,AMDRadeon_R7_M265,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,na
AMD;Radeon;R7,M260X,AMDRadeon_R7_M260X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R7,M260,AMDRadeon_R7_M260,GPU,AMD,OpenCL_2_0,GCN_3_0,4GB,na
AMD;Radeon;R7,260X,AMDRadeon_R7_260X,GPU,AMD,OpenCL_2_0,GCN_2_0,4GB,115
AMD;Radeon;R7,250X,AMDRadeon_R7_250X,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,80
AMD;Radeon;R7,370,AMDRadeon_R7_370,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,110
AMD;Radeon;R7,360,AMDRadeon_R7_360,GPU,AMD,OpenCL_2_0,GCN_2_0,2GB,100
AMD;Radeon;R7,265,AMDRadeon_R7_265,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,150
AMD;Radeon;R7,260,AMDRadeon_R7_260,GPU,AMD,OpenCL_2_0,GCN_2_0,2GB,95
AMD;Radeon;R7,250,AMDRadeon_R7_250,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,55
AMD;Radeon;R7,240,AMDRadeon_R7_240,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,30
AMD;Radeon;R5,M335X,AMDRadeon_R5_M335X,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R5,M335,AMDRadeon_R5_M335,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
